year,hires,terminations,net_change,net_change_percent
2000,211,26,185,87.68
2001,1082,197,885,81.79
2002,1012,162,850,83.99
2003,1088,198,890,81.80
2004,1087,205,882,81.14
2005,1038,192,846,81.50
2006,1069,186,883,82.60
2007,1058,155,903,85.35
2008,1061,147,914,86.15
2009,1094,156,938,85.74
2010,1050,139,911,86.76
2011,1057,120,937,88.65
2012,1059,121,938,88.57
2013,1042,101,941,90.31
2014,1014,94,920,90.73
2015,1011,93,918,90.80
2016,1076,79,997,92.66
2017,1043,65,978,93.77
2018,1090,58,1032,94.68
2019,1038,57,981,94.51
2020,967,41,926,95.76
